gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z
1.375,-0.6875,0.875,0.037087999999999996,-0.048799999999999996,1.03944,0.276,-0.49300000000000005,0.57
1.25,-1.0625,0.875,0.038064,-0.050752,1.038464,0.271,-0.47900000000000004,0.5660000000000001
1.0,-0.7500000000000001,0.5625,0.037087999999999996,-0.045871999999999996,1.037488,0.271,-0.486,0.5630000000000001
1.375,-1.25,0.875,0.03904,-0.045871999999999996,1.03944,0.276,-0.47800000000000004,0.5640000000000001
1.1875,-0.8125,0.7500000000000001,0.038064,-0.045871999999999996,1.038464,0.258,-0.49300000000000005,0.561
0.875,-0.7500000000000001,0.8125,0.037087999999999996,-0.049776,1.040416,0.273,-0.48100000000000004,0.559
1.1875,-1.125,0.875,0.038064,-0.046848,1.038464,0.263,-0.48100000000000004,0.565
1.3125,-0.9374999999999999,1.125,0.038064,-0.045871999999999996,1.03944,0.273,-0.47800000000000004,0.5680000000000001
1.25,-0.7500000000000001,0.625,0.037087999999999996,-0.047824,1.03944,0.272,-0.48700000000000004,0.5680000000000001
1.4375,-1.125,0.6875,0.038064,-0.046848,1.037488,0.281,-0.485,0.5720000000000001
1.25,-0.37500000000000006,0.625,0.040015999999999996,-0.046848,1.03944,0.261,-0.47900000000000004,0.561
1.1875,-0.625,1.3125,0.036112,-0.047824,1.0365119999999999,0.265,-0.48100000000000004,0.57
1.125,-0.8125,0.7500000000000001,0.038064,-0.046848,1.03944,0.268,-0.48,0.556
1.375,-0.6875,0.5625,0.040992,-0.049776,1.03456,0.271,-0.48200000000000004,0.5640000000000001
1.3125,-0.9374999999999999,0.5625,0.038064,-0.046848,1.0413919999999999,0.265,-0.49900000000000005,0.5640000000000001
0.875,-0.6875,0.625,0.03904,-0.047824,1.040416,0.277,-0.48300000000000004,0.5720000000000001
1.1875,-0.7500000000000001,0.5625,0.038064,-0.047824,1.0413919999999999,0.274,-0.48400000000000004,0.559
1.0625,-1.0625,0.9374999999999999,0.038064,-0.048799999999999996,1.0365119999999999,0.264,-0.495,0.561
1.3125,-1.0,0.625,0.037087999999999996,-0.046848,1.03944,0.278,-0.49,0.58
1.4375,-1.125,0.8125,0.040015999999999996,-0.047824,1.0365119999999999,0.263,-0.48100000000000004,0.5660000000000001
1.1875,-0.9374999999999999,0.7500000000000001,0.038064,-0.047824,1.037488,0.273,-0.48100000000000004,0.565
1.375,-0.6875,0.6875,0.037087999999999996,-0.047824,1.037488,0.276,-0.47900000000000004,0.5790000000000001
1.625,-0.8125,0.875,0.038064,-0.045871999999999996,1.037488,0.28200000000000003,-0.48100000000000004,0.57
1.25,-0.625,0.875,0.037087999999999996,-0.048799999999999996,1.042368,0.275,-0.48300000000000004,0.562
1.625,-0.875,0.8125,0.038064,-0.046848,1.037488,0.278,-0.48900000000000005,0.55
1.5000000000000002,-0.7500000000000001,0.9374999999999999,0.03904,-0.047824,1.038464,0.273,-0.48100000000000004,0.558
2.0,-0.37500000000000006,0.875,0.031232000000000003,-0.040992,1.056032,0.275,-0.485,0.5660000000000001
0.875,-2.0,0.8125,0.038064,-0.041968,1.035536,0.269,-0.48,0.56
1.9375,-1.125,0.6875,0.038064,-0.045871999999999996,1.032608,0.273,-0.48300000000000004,0.5630000000000001
1.375,-0.6875,0.8125,0.038064,-0.048799999999999996,1.040416,0.278,-0.49,0.5680000000000001
1.1875,1.5000000000000002,-4.25,0.044896,-0.08588799999999999,1.030656,0.276,-0.48100000000000004,0.5690000000000001
-0.125,-0.5,-24.8125,0.018543999999999998,-0.08295999999999999,1.043344,0.264,-0.47900000000000004,0.5660000000000001
1.8749999999999998,-1.4375,-4.625,0.040992,0.017568,1.0413919999999999,0.26,-0.47300000000000003,0.57
1.4375,-1.8125000000000002,1.125,0.032208,-0.047824,1.056032,0.273,-0.48,0.541
1.4375,-0.5625,0.875,0.040992,-0.048799999999999996,1.0316319999999999,0.272,-0.485,0.56
1.75,-0.9374999999999999,0.9374999999999999,0.03904,-0.050752,1.03944,0.27,-0.48400000000000004,0.5740000000000001
1.1875,-1.3125,0.9374999999999999,0.037087999999999996,-0.047824,1.035536,0.263,-0.48300000000000004,0.562
1.125,-0.625,0.875,0.036112,-0.048799999999999996,1.043344,0.265,-0.48100000000000004,0.559
1.0,-0.875,0.875,0.037087999999999996,-0.046848,1.03944,0.263,-0.48700000000000004,0.551
1.375,-0.625,0.875,0.03904,-0.048799999999999996,1.038464,0.258,-0.48300000000000004,0.5680000000000001
